transaction_id,transaction_date,amount,currency,originator_account,originator_name,originator_country,originator_sic,beneficiary_account,beneficiary_name,beneficiary_country,beneficiary_sic,channel,is_sanctioned,label
57cb1842-1396-463c-9a53-a02dcf41728f,2025-03-24 09:08:27,80530.51,GBP,GB04VIIG63700103777649,Munoz and Sons,GB,7999,GB31ABEJ41395831802553,"Clarke, Wallace and Evans",US,6211,RTGS,0,0
29a5c694-3146-4aaa-b72f-a735a6e1272d,2025-01-27 23:00:19,43817.32,INR,GB51LGWV09556967488619,Johnson-Murray,IN,0111,GB94AWGH79545111906644,Hart LLC,IN,1311,RTGS,0,0
e697adbe-5e13-4055-9641-6fc02f63d5c4,2025-04-16 05:31:35,11414.34,RUB,GB65LEZM85070895355967,Lambert PLC,RU,7372,GB29LLMD18067308956248,Page-Green,AE,5122,SEPA,0,0
507eef87-fffa-4209-847c-e476b89cbacf,2025-02-01 21:37:06,39713.74,EUR,GB89RFEW15759507811154,Brown-Buchanan,DE,6211,GB32JNYA58335729317827,Johnson Inc,US,1311,NEFT,0,0
407844fb-a3cb-487e-9b99-0799f9e784cf,2025-04-07 03:48:15,80471.2,USD,GB23YTCF46450355875886,Parrish-Fields,US,7999,GB61CFBK19477618622280,Jones Group,BR,6021,RTGS,0,0
9e53d0d5-9499-411c-a71f-bbe6a8409b44,2025-07-24 07:24:42,62896.04,NGN,GB56OFMR82217633940491,Dixon Inc,NG,6211,GB29RGSY12133019242926,"Dorsey, Bird and Brooks",BR,7999,SEPA,0,0
5925cf18-eaac-45a8-983f-495ea081a0eb,2025-01-30 21:26:12,19770.12,GBP,GB94OMZB66347928276868,Frank Ltd,GB,5122,GB74UIUZ57925894691587,"Dalton, Browning and Jones",US,6211,SEPA,0,0
e6d07039-b0ac-4312-bbfa-a9b335812931,2025-02-11 01:56:13,27174.27,CNY,GB86GLUN09526334416746,"Goodman, Gutierrez and Ramos",CN,5122,GB21OCLV57434282863301,Gray PLC,RU,1311,NEFT,0,0
8cb8290c-ac5f-493d-8266-3f3b22e79bcf,2025-04-18 09:03:50,81108.68,RUB,GB63ZKJI25232213611147,Nichols Ltd,RU,6211,GB48SEUH69658686244915,"Kelly, Hardin and Nichols",IN,7372,NEFT,0,0
b45393a3-d649-4bb6-8ff1-f4d176e0cf54,2025-04-07 15:20:09,97510.01,AED,GB57UNYP23869026369085,Jennings and Sons,AE,1311,GB45TOTJ85074246840505,Marshall Group,DE,7999,SWIFT,0,0
4dbc9044-0444-48c6-9e6f-4b4e112bc19c,2025-08-02 00:06:44,55506.62,GBP,GB58LWKJ90396597292152,Walsh-Galvan,GB,7999,GB54TSJC04229055302006,"Mercado, Jenkins and Huynh",US,7372,SEPA,0,0
6eea51bb-ee6d-494b-839a-768db3aab6dc,2025-04-16 18:35:32,3590.41,GBP,GB29OXAH37960970233418,"Valdez, Cook and Martinez",GB,1311,GB87CCJK17620572757549,Ray and Sons,AE,5122,SEPA,0,0
9f0ebc6b-b356-4e81-87b6-1565a0ea34bb,2025-05-02 16:37:00,31803.73,NGN,GB56RTOP53628071758231,"Jenkins, Williams and Hunter",NG,0111,GB38MUMA41311057317643,Keller-Chapman,CN,6021,RTGS,0,0
d5f4dfe5-9096-4359-9914-ee0eccdd17d2,2025-01-20 20:52:44,11588.47,NGN,GB47OEZJ39515961563652,Patterson and Sons,NG,7372,GB76LSCN47293530386162,Espinoza-Thompson,NG,5122,SWIFT,0,0
d5873eae-f67a-485c-af8f-7d8814da5be8,2025-02-19 20:26:37,99546.57,NGN,GB42TBKH76646155205621,Cox Ltd,NG,6211,GB97OJZF90359619061086,"Garcia, Young and Hancock",RU,7372,SEPA,0,0
4823b6d4-7bec-441d-86b0-af684acd2469,2025-07-06 15:01:59,23812.26,AED,GB78TVXN40556388755478,Camacho and Sons,AE,6021,GB61UBPH14243558138552,Barnes Inc,DE,0111,SEPA,0,0
2fb709a4-1b3f-48a2-a924-61af3144bbaa,2025-04-19 13:21:52,4994.01,NGN,GB77AHUU25819080830624,Charles Inc,NG,1311,GB02NMNO12746063220816,"Cruz, Barrera and Yates",CN,6211,RTGS,0,0
20953129-d000-4b9a-b6a6-40de2ffd7994,2025-05-10 01:13:56,59202.74,RUB,GB13VKJE73538290146327,"Olson, Rodriguez and Rivera",RU,6211,GB61IRER09001965120804,Villanueva PLC,NG,5122,SEPA,0,0
2ff821bc-63db-4cf5-91f1-0f22088b3537,2025-01-05 10:02:28,23900.34,RUB,GB87XZQA95310772267104,"Hughes, Larson and Walker",RU,1311,GB24LDBU28338713583587,"Brooks, Wood and Haynes",GB,5122,SWIFT,0,0
02ee9810-90e7-47f6-98e5-a2d8fb5ad7db,2025-06-04 19:00:39,18872.64,BRL,GB52EXUG45123710455902,"Allen, Cook and Webster",BR,6021,GB55NARL10962988793223,Harris and Sons,NG,6021,RTGS,0,0
d9dcd1a3-fd66-451e-a98e-6d8b3fcd15de,2025-03-20 04:49:46,66281.59,BRL,GB03ECKT14941077019024,"Cisneros, Salinas and Yang",BR,0111,GB86LIQM46846937106153,Frank LLC,IN,6211,SEPA,0,0
ec7a234d-5902-4847-882b-f17e31798435,2025-06-18 01:07:11,57963.01,GBP,GB15DKJM59052145503746,"Gomez, Jordan and Gould",GB,7999,GB19KDJL88075007307938,Robertson and Sons,CN,7999,NEFT,0,0
