transaction_id,timestamp,originator_account,originator_company,originator_SIC,originator_country,beneficiary_account,beneficiary_company,beneficiary_SIC,beneficiary_country,currency,amount,transaction_description,label
T00001,2025-01-20 06:05:40,GB24WHGL93829333716083,Harrison and Sons,7372,ZA,GB54BGXQ12931013491492,Sherman-Kidd,4813,DE,ZAR,181223.45,Paying Rent,1
T00002,2025-07-07 09:50:22,GB50FLXI99334590401216,King-Simon,6211,BR,GB44LNMS40071657428500,"Garcia, Jimenez and Taylor",5411,AE,BRL,164700.15,EMI Payment,1
T00003,2025-07-30 09:41:45,GB23ICVC20822580617431,"Carr, Glenn and Graves",6021,ZA,GB21AXGO39044443754220,Saunders-Olson,7372,ZA,ZAR,20045.76,Loan Repayment,0
T00004,2025-07-18 00:04:26,GB89GSOX14529062994524,Fowler Inc,8221,SG,GB70IMIA78558885660911,Brown Group,5411,UK,SGD,94579.87,Paying Rent,0
T00005,2025-03-21 16:17:44,GB88HUWA14665343253945,Coleman LLC,5812,SG,GB58GBPP01230803079555,"West, Nunez and Johnson",5812,DE,SGD,55415.85,Donation,1
T00006,2025-06-24 06:58:06,GB05ZHTO70392068340219,"Wu, Wright and Obrien",5411,UK,GB55LSZD90754259852862,Johnson Ltd,7311,AE,GBP,132322.08,Retail Shopping,1
T00007,2025-05-06 06:25:47,GB08IENA81659976313202,Smith and Sons,7372,AE,GB43VBDF18179945707166,"Williams, Larson and Martinez",6211,BR,AED,10679.07,Insurance Premium,1
T00008,2025-04-06 00:07:16,GB03RFBK45473125450173,"Turner, Perkins and Avery",5812,DE,GB79SHGQ80150207928401,Estes-Ryan,5812,UK,EUR,76019.88,Insurance Premium,0
T00009,2025-04-12 10:21:32,GB47ZBZF18729040870835,Booth LLC,5411,RU,GB33HTQR88025888618680,"Soto, Davis and Ford",7311,CN,RUB,33932.29,Retail Shopping,1
T00010,2025-07-03 20:41:12,GB26MBZL34310550129858,Horn and Sons,4813,RU,GB42BYRW33004300615602,"Houston, Sloan and Williams",6021,UK,RUB,78093.47,Subscription Service,1
T00011,2025-03-04 02:27:09,GB51INBC33593792031944,"Murphy, Wagner and Lopez",4813,IN,GB30XPCC95723991627642,Webster Group,6021,UK,INR,152284.48,Subscription Service,1
T00012,2025-01-10 02:08:57,GB66LYMY90053578270106,"Powell, Fields and Collins",6211,ZA,GB96OXEC05771430327585,Smith Inc,5411,ZA,ZAR,93762.07,Salary Payment,0
T00013,2025-07-12 12:40:59,GB22VIPX64835092863409,"Gillespie, Wright and Johnson",5812,AE,GB06ZJJU02547858171722,Owens-Perez,4813,SG,AED,88315.15,Retail Shopping,1
T00014,2025-02-15 10:39:35,GB48ZWWI01251188627844,Mcdaniel Ltd,5411,AE,GB06KPAK86647773809721,Simon-Cohen,7372,CN,AED,124116.31,Insurance Premium,1
T00015,2025-03-28 15:11:42,GB95ESFG18553782526746,Rodriguez-Hall,7311,CN,GB83GJFK59253855153538,Gutierrez-King,7372,DE,CNY,88301.92,Loan Repayment,1
T00016,2025-05-08 03:23:42,GB09KILX96621849709087,Obrien-Garrett,7311,IN,GB33YYUD08664853934581,"Foster, Blevins and Gutierrez",6021,AE,INR,148827.17,Donation,1
T00017,2025-07-31 07:00:18,GB77MPLN67765454672939,Wright Ltd,4813,RU,GB33WDCN57519330914110,Lewis Group,5411,RU,RUB,47184.33,Subscription Service,1
T00018,2025-06-24 00:21:18,GB21KEOC49738307460193,Vargas-Proctor,6211,BR,GB67QBKY35394342463228,"Fuentes, Thompson and Rodriguez",6211,RU,BRL,183111.74,Retail Shopping,1
T00019,2025-02-13 13:25:32,GB15BKYE63750289531923,"Fowler, Rios and Howard",7372,US,GB56HDIJ22592852691837,"White, Peterson and Gonzalez",8221,ZA,USD,125835.44,Donation,1
T00020,2025-06-06 04:50:13,GB98EGEE25096928254867,"Avila, Sherman and Valencia",4813,SG,GB60UPTI24052192511314,"Elliott, Doyle and Ramirez",5812,SG,SGD,199172.82,Retail Shopping,1
T00021,2025-01-07 10:17:23,GB31FECS35096995377314,"Diaz, Wood and Harvey",6211,DE,GB48TLVM87253405556804,Lee Ltd,6211,BR,EUR,131523.62,Travel Booking,1
T00022,2025-02-20 18:16:36,GB90GOTY37374108076265,"Thompson, Oliver and Davis",7311,AE,GB16VWYM36339419113191,Smith-Jones,4813,RU,AED,38449.08,Utility Bill Payment,1
T00023,2025-06-27 16:00:55,GB59TJAO51058272512868,Nelson LLC,8221,US,GB88CHTH44733908668156,Webb PLC,6211,DE,USD,198829.3,Loan Repayment,1
T00024,2025-08-14 15:34:08,GB49FOWM50278943973760,Miller Ltd,8221,CN,GB67JDXM33994509138270,Decker PLC,6211,CN,CNY,13104.01,Paying Rent,1
T00025,2025-02-21 13:48:31,GB23SSFE31377214346133,Brown-Owens,6211,UK,GB02NRNQ43156094977272,"Griffin, Price and Johnson",4813,BR,GBP,121696.13,Credit Card Payment,1
T00026,2025-08-12 13:49:06,GB59IUNP65986730102301,Neal-Ingram,7372,ZA,GB32KUQQ49604544205699,Williams-Young,5411,AE,ZAR,198935.36,Travel Booking,1
T00027,2025-03-31 12:43:30,GB48TQES48202290440500,Johnson-Arnold,6211,CN,GB44XWKI74696324945854,Sanford Group,5812,DE,CNY,178407.86,Loan Repayment,1
T00028,2025-03-06 06:28:06,GB87ZKDV82787593717031,Johnson-Moody,6211,AE,GB33FKYF17614166072407,Watson-Durham,7372,IN,AED,111311.28,Subscription Service,1
T00029,2025-01-09 06:40:10,GB25RWAG24807470904605,"Cohen, Stewart and Sullivan",6021,UK,GB54CZKI00805882345600,"Jones, Baker and Baker",4813,SG,GBP,140927.7,Utility Bill Payment,1
T00030,2025-08-23 20:56:07,GB17IMMA14484382133931,"Franklin, Torres and Jenkins",5411,BR,GB87SLUB04987263242446,Willis and Sons,4813,RU,BRL,37712.67,Retail Shopping,1
